record timestamp,client timestamp,button,state,x,y
0.0,0.0,NoButton,Move,126,337
0.0,0.016,NoButton,Move,129,337
0.0,0.032,NoButton,Move,136,337
0.0,0.047,NoButton,Move,155,339
0.0,0.063,NoButton,Move,185,340
0.105000019,0.078,NoButton,Move,200,338
0.105999947,0.094,NoButton,Move,219,335
0.105999947,0.11,NoButton,Move,240,329
0.105999947,0.141,NoButton,Move,270,320
0.105999947,0.156,NoButton,Move,281,317
0.105999947,0.172,NoButton,Move,289,312
0.220999956,0.188,NoButton,Move,299,303
0.220999956,0.203,NoButton,Move,317,275
0.220999956,0.219,NoButton,Move,330,254
0.220999956,0.234,NoButton,Move,336,237
0.220999956,0.281,NoButton,Move,340,225
0.220999956,0.281,NoButton,Move,341,221
0.328999996,0.297,NoButton,Move,342,218
0.328999996,0.312,NoButton,Move,345,210
0.328999996,0.328,NoButton,Move,353,198
0.328999996,0.344,NoButton,Move,365,185
0.328999996,0.359,NoButton,Move,375,177
0.328999996,0.375,NoButton,Move,387,170
0.328999996,0.39,NoButton,Move,393,167
0.430999994,0.406,NoButton,Move,401,164
0.430999994,0.437,NoButton,Move,410,160
0.430999994,0.437,NoButton,Move,427,155
0.430999994,0.468,NoButton,Move,440,150
0.430999994,0.484,NoButton,Move,453,146
0.430999994,0.5,NoButton,Move,462,144
0.552000046,0.515,NoButton,Move,467,143
0.552000046,0.531,NoButton,Move,470,143
0.552000046,0.546,NoButton,Move,470,142
0.552000046,0.562,NoButton,Move,471,142
0.552000046,0.578,NoButton,Move,472,141
0.552000046,0.593,NoButton,Move,474,140
0.552000046,0.624,NoButton,Move,477,138
0.674000025,0.64,NoButton,Move,480,136
0.674000025,0.656,NoButton,Move,482,133
0.674000025,0.671,NoButton,Move,486,131
0.674999952,0.702,NoButton,Move,492,128
0.674999952,0.702,NoButton,Move,498,125
0.674999952,0.718,NoButton,Move,500,124
0.674999952,0.734,NoButton,Move,500,123
0.778000116,0.843,Left,Pressed,500,123
0.862999916,0.921,Left,Released,500,123
1.21600008,1.28,NoButton,Move,499,123
1.319999933,1.295,NoButton,Move,497,124
1.319999933,1.311,NoButton,Move,490,127
1.319999933,1.326,NoButton,Move,482,134
1.319999933,1.342,NoButton,Move,453,155
1.319999933,1.373,NoButton,Move,429,174
1.319999933,1.389,NoButton,Move,410,194
1.444999933,1.404,NoButton,Move,394,209
1.444999933,1.451,NoButton,Move,376,225
1.444999933,1.451,NoButton,Move,348,256
1.444999933,1.451,NoButton,Move,331,275
1.444999933,1.482,NoButton,Move,319,287
1.444999933,1.482,NoButton,Move,311,297
1.444999933,1.514,NoButton,Move,302,303
1.575999975,1.529,NoButton,Move,300,304
1.575999975,1.545,NoButton,Move,298,305
1.575999975,1.56,NoButton,Move,295,306
1.575999975,1.576,NoButton,Move,289,307
1.575999975,1.592,NoButton,Move,285,308
1.576999903,1.607,NoButton,Move,282,308
1.576999903,1.638,NoButton,Move,280,309
1.878000021,1.638,NoButton,Move,279,309
1.878000021,1.67,NoButton,Move,278,310
1.878000021,1.701,NoButton,Move,277,310
2.000999928,2.044,NoButton,Move,272,309
2.000999928,2.06,NoButton,Move,261,305
2.105000019,2.091,NoButton,Move,250,303
2.105000019,2.106,NoButton,Move,236,302
2.105000019,2.122,NoButton,Move,209,300
2.105000019,2.138,NoButton,Move,167,295
2.105000019,2.153,NoButton,Move,144,295
2.105000019,2.169,NoButton,Move,124,296
2.211999893,2.184,NoButton,Move,113,296
2.211999893,2.2,NoButton,Move,106,296
2.211999893,2.231,NoButton,Move,100,296
2.211999893,2.231,NoButton,Move,97,295
2.211999893,2.262,NoButton,Move,96,295
2.211999893,2.278,NoButton,Move,94,294
2.328999996,2.294,NoButton,Move,91,294
2.328999996,2.309,NoButton,Move,88,293
2.328999996,2.34,NoButton,Move,85,292
2.328999996,2.356,NoButton,Move,83,291
2.328999996,2.356,NoButton,Move,80,290
2.328999996,2.372,NoButton,Move,76,288
2.329999924,2.403,NoButton,Move,72,285
2.480999947,2.418,NoButton,Move,65,282
2.480999947,2.434,NoButton,Move,56,279
2.480999947,2.45,NoButton,Move,49,275
2.480999947,2.465,NoButton,Move,37,270
2.480999947,2.481,NoButton,Move,30,267
2.480999947,2.496,NoButton,Move,25,265
2.480999947,2.512,NoButton,Move,22,264
2.647000074,2.543,NoButton,Move,20,263
2.647000074,2.574,NoButton,Move,20,262
2.647000074,2.715,NoButton,Move,21,262
2.767999887,2.73,NoButton,Move,24,263
2.767999887,2.746,NoButton,Move,27,263
2.767999887,2.762,NoButton,Move,28,264
2.767999887,2.793,NoButton,Move,29,264
2.767999887,2.808,NoButton,Move,30,264
2.767999887,2.84,NoButton,Move,31,264
2.907000065,2.855,NoButton,Move,32,264
2.907000065,2.871,NoButton,Move,33,264
2.907000065,2.902,NoButton,Move,34,264
2.907000065,2.918,NoButton,Move,34,265
2.907000065,2.933,NoButton,Move,35,265
3.075000048,2.964,NoButton,Move,36,266
3.075000048,2.996,Left,Pressed,36,266
3.075000048,2.996,NoButton,Drag,37,266
3.075000048,3.136,Left,Released,37,266
3.184999943,3.167,NoButton,Move,37,267
3.186000109,3.183,NoButton,Move,38,267
3.186000109,3.214,NoButton,Move,38,268
3.186000109,3.23,NoButton,Move,38,269
3.186000109,3.245,NoButton,Move,39,270
3.335000038,3.276,NoButton,Move,40,271
3.335000038,3.292,NoButton,Move,41,274
3.335000038,3.308,NoButton,Move,43,276
3.335000038,3.323,NoButton,Move,45,279
3.335000038,3.339,NoButton,Move,46,279
3.335000038,3.401,NoButton,Move,47,280
3.44900012,3.401,NoButton,Move,49,280
3.44900012,3.417,NoButton,Move,52,281
3.44900012,3.448,NoButton,Move,55,282
3.44900012,3.464,NoButton,Move,57,282
3.44900012,3.479,NoButton,Move,60,282
3.44900012,3.495,NoButton,Move,63,282
3.44900012,3.51,NoButton,Move,68,282
3.549999952,3.526,NoButton,Move,74,282
3.549999952,3.542,NoButton,Move,80,282
3.549999952,3.557,NoButton,Move,83,282
3.549999952,3.573,NoButton,Move,87,282
3.549999952,3.604,NoButton,Move,94,281
3.549999952,3.62,NoButton,Move,105,281
3.671999931,3.635,NoButton,Move,120,281
3.671999931,3.651,NoButton,Move,130,283
3.671999931,3.666,NoButton,Move,144,292
3.671999931,3.682,NoButton,Move,163,309
3.671999931,3.698,NoButton,Move,214,362
3.671999931,3.713,NoButton,Move,245,396
3.671999931,3.729,NoButton,Move,272,425
3.776000023,3.76,NoButton,Move,305,459
3.776000023,3.776,NoButton,Move,350,498
3.776000023,3.791,NoButton,Move,385,517
3.776000023,3.807,NoButton,Move,411,526
3.776000023,3.822,NoButton,Move,431,529
3.776000023,3.838,NoButton,Move,444,529
3.878999949,3.854,NoButton,Move,457,529
3.878999949,3.869,NoButton,Move,466,529
3.878999949,3.885,NoButton,Move,472,529
3.878999949,3.916,NoButton,Move,477,529
3.878999949,3.932,NoButton,Move,479,529
3.878999949,3.947,NoButton,Move,480,529
3.984999895,3.963,NoButton,Move,481,528
3.984999895,3.994,NoButton,Move,481,527
3.984999895,4.01,NoButton,Move,481,525
3.984999895,4.025,NoButton,Move,479,521
3.984999895,4.056,NoButton,Move,470,514
4.099999905,4.056,NoButton,Move,460,508
4.101000071,4.072,NoButton,Move,451,501
4.101000071,4.088,NoButton,Move,448,498
4.101000071,4.119,NoButton,Move,446,495
4.101000071,4.134,NoButton,Move,444,493
4.101000071,4.15,NoButton,Move,442,489
4.101000071,4.166,NoButton,Move,442,488
4.203999996,4.181,NoButton,Move,441,486
4.204999924,4.197,NoButton,Move,440,484
4.204999924,4.212,NoButton,Move,440,480
4.204999924,4.228,NoButton,Move,441,478
4.204999924,4.244,NoButton,Move,441,477
4.204999924,4.275,NoButton,Move,441,475
4.275000095,4.29,NoButton,Move,441,474
4.276000023,4.337,Left,Pressed,441,474
4.378999949,4.446,Left,Released,441,474
4.486999989,4.478,NoButton,Move,440,475
4.486999989,4.493,NoButton,Move,437,477
4.486999989,4.509,NoButton,Move,434,482
4.486999989,4.524,NoButton,Move,427,488
4.486999989,4.556,NoButton,Move,417,494
4.60800004,4.571,NoButton,Move,404,501
4.60800004,4.587,NoButton,Move,375,512
4.60800004,4.602,NoButton,Move,353,518
4.60800004,4.618,NoButton,Move,331,519
4.60800004,4.634,NoButton,Move,316,520
4.60800004,4.649,NoButton,Move,308,521
4.60800004,4.665,NoButton,Move,303,521
4.707999945,4.68,NoButton,Move,299,521
4.707999945,4.696,NoButton,Move,293,521
4.707999945,4.727,NoButton,Move,289,520
4.707999945,4.743,NoButton,Move,285,519
4.707999945,4.758,NoButton,Move,283,519
4.707999945,4.774,NoButton,Move,282,518
4.871000052,4.79,NoButton,Move,281,518
4.871999979,4.93,NoButton,Move,281,517
4.969000101,4.946,NoButton,Move,281,514
4.969000101,4.961,NoButton,Move,282,510
4.969000101,4.977,NoButton,Move,282,506
4.969000101,4.992,NoButton,Move,284,501
